User Query,Bot Response
hello,"Hi! How can I help you today?"
hi,"Hello! What’s up?"
hey,"Hey there! How can I assist you?"
how are you,"I’m doing great, thanks for asking! How about you?"
bye,"Goodbye! Have a great day!"
good night,"Good night! Sleep well and take care."
thank you,"You’re welcome! Anytime 😊"
thanks,"No problem! Happy to help."
what is this chatbot about,"I’m a chatbot that answers questions based on your study materials."
what can you do,"I can answer questions, explain chapters, and help you study effectively."
explain chapter 1,"Chapter 1 introduces the basics and key concepts."
explain chapter 2,"Chapter 2 explains advanced topics with examples."
summarize pdf 1,"PDF 1 covers fundamentals and gives an overview of the subject."
summarize pdf 2,"PDF 2 discusses deeper concepts with practical examples."
who made you,"I was created to assist with learning and answering study-related questions."
help,"Sure! Just ask me a question about your study material or topic you need help with."
what is your name,"I’m your study assistant chatbot!"
